clip,species,probability
A_20090328_062300.wav,14,0.824218915457208711750070051494
A_20090328_062300.wav,15,0.494680934615270184728785807238
A_20090328_062300.wav,16,0.650377749807178329177759223967
A_20090328_062300.wav,17,0.000000000000000000000000000000
A_20090328_062300.wav,18,0.783711629335064108303754437657
A_20090328_062300.wav,19,0.000000000000000000000000000000
A_20090328_062300.wav,20,0.951365894920480403840201688581
A_20090328_062300.wav,21,0.613943168449186615909241027111
A_20090328_062300.wav,22,0.781247752961812924610285335802
A_20090328_062300.wav,23,0.789538520513067387796013463230
A_20090328_062300.wav,24,0.663484268393697784738094469503
A_20090328_062300.wav,25,0.559558576600960089209024772572
A_20090328_062300.wav,26,0.889100996024758227775919294800
A_20090328_062300.wav,27,0.691001834656996383188243271434
A_20090328_062300.wav,28,0.797681279780109275812094438152
A_20090328_062300.wav,29,0.000000000000000000000000000000
A_20090328_062300.wav,30,0.473108894979041849637724226341
A_20090328_062300.wav,31,0.800481839076149781497804269748
A_20090328_062300.wav,32,0.985066865429972238210609702946
A_20090328_062300.wav,33,0.986533533019269937014428251132
A_20090328_062300.wav,34,0.310353065212292555941075988812
A_20090328_062300.wav,35,0.660469152113541402293606097373
A_20090330_061800.wav,1,0.665266404586232873441531410208
A_20090330_061800.wav,2,0.961627931039635841514723324508
A_20090330_061800.wav,3,0.000000000000000000000000000000
A_20090330_061800.wav,4,0.381096704361869598187695373781
A_20090330_061800.wav,5,0.430702625992271714849835007044
A_20090330_061800.wav,6,0.737146640205348813168484412017
A_20090330_061800.wav,7,0.873178793871083103184105311811
A_20090330_061800.wav,8,0.994707439187644593125980918558
A_20090330_061800.wav,9,0.942733217768441100758991524344
A_20090330_061800.wav,10,0.822849909176221694373509762954
A_20090330_061800.wav,11,0.867061861229803665374049614911
A_20090330_061800.wav,12,0.875932007786323740816669669584
A_20090330_061800.wav,13,0.693581644057457813445921601669
A_20090330_061800.wav,14,0.892096429237374310972086277616
A_20090330_061800.wav,15,0.849485547399267182377968765650
A_20090330_061800.wav,16,0.767786979544554548660073578503
A_20090330_061800.wav,17,0.000000000000000000000000000000
A_20090330_061800.wav,18,0.673111471257214377672539740161
A_20090330_061800.wav,19,0.610965291735390270133621015702
A_20090330_061800.wav,20,0.981777597656928291414146769966
A_20090330_061800.wav,21,0.552928467028719450304663496354
A_20090330_061800.wav,22,0.870597700570654775553691706591
A_20090330_061800.wav,23,0.944536648405964962549319352547
A_20090330_061800.wav,24,0.590470415327405406813454646908
A_20090330_061800.wav,25,0.000000000000000000000000000000
A_20090330_061800.wav,26,0.883487847473432008627014511148
A_20090330_061800.wav,27,0.903083912502113284048732566589
A_20090330_061800.wav,28,0.732959545412722013324469116924
A_20090330_061800.wav,29,0.000000000000000000000000000000
A_20090330_061800.wav,30,0.727823839649182069422295171535
A_20090330_061800.wav,31,0.897237148281128993332345089584
A_20090330_061800.wav,32,0.991923393035250011706693840097
A_20090330_061800.wav,33,0.974994197685782992834901961032
A_20090330_061800.wav,34,0.672092885591760058616728201741
A_20090330_061800.wav,35,0.620261871236699402487602128531
A_20090401_061400.wav,1,0.705498568572901163520327827428
A_20090401_061400.wav,2,0.939232257403834536191311599396
A_20090401_061400.wav,3,0.000000000000000000000000000000
A_20090401_061400.wav,4,0.256589986451652429799707988423
A_20090401_061400.wav,5,0.379321273244063728036223892559
A_20090401_061400.wav,6,0.667967713988574685046728518500
A_20090401_061400.wav,7,0.890500917251286550069266922947
A_20090401_061400.wav,8,0.999228015090538379538998015050
A_20090401_061400.wav,9,0.876142833178177649067208676570
A_20090401_061400.wav,10,0.645345653228731608308521572326
A_20090401_061400.wav,11,0.816600255747977232800849378691
A_20090401_061400.wav,12,0.889810182089309509301244816015
A_20090401_061400.wav,13,0.842915933270672712573912122025
A_20090401_061400.wav,14,0.890391879563805388464459156239
A_20090401_061400.wav,15,0.592534410323888094396238557238
A_20090401_061400.wav,16,0.794052613290507691701236581139
A_20090401_061400.wav,17,0.000000000000000000000000000000
A_20090401_061400.wav,18,0.794643303248089960533206976834
A_20090401_061400.wav,19,0.261318063999544270004093959869
A_20090401_061400.wav,20,0.986120178364916055713251807902
A_20090401_061400.wav,21,0.000000000000000000000000000000
A_20090401_061400.wav,22,0.721555261158438598911857297935
A_20090401_061400.wav,23,0.924029038258545654116460354999
A_20090401_061400.wav,24,0.782443454756070799760436784709
A_20090401_061400.wav,25,0.586721967209861028358375278913
A_20090401_061400.wav,26,0.884891197403726237347143523948
A_20090401_061400.wav,27,0.903328800225829287029455372249
A_20090401_061400.wav,28,0.577027322789954610904317178210
A_20090401_061400.wav,29,0.000000000000000000000000000000
A_20090401_061400.wav,30,0.785682630789185765252113924362
A_20090401_061400.wav,31,0.774241087724167442729594768025
A_20090401_061400.wav,32,0.998153950562213565511626711668
A_20090401_061400.wav,33,0.972224119048917589935854266514
A_20090401_061400.wav,34,0.283532932125394432354426044185
A_20090401_061400.wav,35,0.143221464350964611256245007098
A_20090403_061000.wav,1,0.573840598987102490369238694257
A_20090403_061000.wav,2,0.857109965177259347512972453842
A_20090403_061000.wav,3,0.000000000000000000000000000000
A_20090403_061000.wav,4,0.424791965629380485758304075716
A_20090403_061000.wav,5,0.582229201952995323310346975632
A_20090403_061000.wav,6,0.670292424409933973450392841187
A_20090403_061000.wav,7,0.608003860403810714174710483348
A_20090403_061000.wav,8,0.999306967064680029544376793638
A_20090403_061000.wav,9,0.790214228660512718604991277971
A_20090403_061000.wav,10,0.807173554467350062857633474778
A_20090403_061000.wav,11,0.839888152471619076067099740612
A_20090403_061000.wav,12,0.927251560160012200384471725556
A_20090403_061000.wav,13,0.727255221605810353580068294832
A_20090403_061000.wav,14,0.758468198617271327499622657342
A_20090403_061000.wav,15,0.107151531674374633773538789683
A_20090403_061000.wav,16,0.764181370002992688128529152891
A_20090403_061000.wav,17,0.000000000000000000000000000000
A_20090403_061000.wav,18,0.871696993717629875497721059219
A_20090403_061000.wav,19,0.555824581469604339645229629241
A_20090403_061000.wav,20,0.961615163190625010791734439408
A_20090403_061000.wav,21,0.242527666134503161465829634835
A_20090403_061000.wav,22,0.483522907661456446959391541895
A_20090403_061000.wav,23,0.399555581291761718887300958158
A_20090403_061000.wav,24,0.739605092954314091713285961305
A_20090403_061000.wav,25,0.596097893570665005036346428824
A_20090403_061000.wav,26,0.663626526370170388702263153391
A_20090403_061000.wav,27,0.325752676805046825769807128381
A_20090403_061000.wav,28,0.336046363883511278736193617078
A_20090403_061000.wav,29,0.000000000000000000000000000000
A_20090403_061000.wav,30,0.673918406394270697035153716570
A_20090403_061000.wav,31,0.664836973310120593616545647819
A_20090403_061000.wav,32,0.990552013390186281149851765804
A_20090403_061000.wav,33,0.962447933086388540679934067157
A_20090403_061000.wav,34,0.088857613960139580910890799714
A_20090403_061000.wav,35,0.000000000000000000000000000000
A_20090405_060600.wav,1,0.726957190234248429305807803757
A_20090405_060600.wav,2,0.956213521394364551753142222879
A_20090405_060600.wav,3,0.000000000000000000000000000000
A_20090405_060600.wav,4,0.693778662765082598795629564847
A_20090405_060600.wav,5,0.021636061318963673016924076364
A_20090405_060600.wav,6,0.712724404092335062088636732369
A_20090405_060600.wav,7,0.923603299865739968410593974113
A_20090405_060600.wav,8,0.999439696932339360913033488032
A_20090405_060600.wav,9,0.933620767145292185240634807997
A_20090405_060600.wav,10,0.749691423466170903111560619436
A_20090405_060600.wav,11,0.866137981834652292967291487003
A_20090405_060600.wav,12,0.802462126025494271175375615712
A_20090405_060600.wav,13,0.712986197868929472143406655960
A_20090405_060600.wav,14,0.660240644635735396406062136521
A_20090405_060600.wav,15,0.749397264686361141983184097626
A_20090405_060600.wav,16,0.805824798859894664282421672397
A_20090405_060600.wav,17,0.000000000000000000000000000000
A_20090405_060600.wav,18,0.762160433897539069114657195314
A_20090405_060600.wav,19,0.495874504427339046763734131673
A_20090405_060600.wav,20,0.978922231418422050808203493943
A_20090405_060600.wav,21,0.291478485183563673643902802723
A_20090405_060600.wav,22,0.841676136240620875739182338293
A_20090405_060600.wav,23,0.943483135502500402935766032897
A_20090405_060600.wav,24,0.522747344876765662746720408904
A_20090405_060600.wav,25,0.000000000000000000000000000000
A_20090405_060600.wav,26,0.845594280092007433147216488578
A_20090405_060600.wav,27,0.858650816077653145086401309527
A_20090405_060600.wav,28,0.792340763215152454890244371200
A_20090405_060600.wav,29,0.000000000000000000000000000000
A_20090405_060600.wav,30,0.591984186118830857381567511766
A_20090405_060600.wav,31,0.736796100882002868992515232094
A_20090405_060600.wav,32,0.998125319433887603359778495360
A_20090405_060600.wav,33,0.979896599924031108663768918632
A_20090405_060600.wav,34,0.800855990357548064295656331524
A_20090405_060600.wav,35,0.656884539968894065609106291959
A_20090407_060200.wav,1,0.598756615428341465445782887400
A_20090407_060200.wav,2,0.910526744341478622146723864716
A_20090407_060200.wav,3,0.000000000000000000000000000000
A_20090407_060200.wav,4,0.662298912879310641699248662917
A_20090407_060200.wav,5,0.391129733655351419230328247068
A_20090407_060200.wav,6,0.558774501745519902584646843025
A_20090407_060200.wav,7,0.520075030320838127551041907282
A_20090407_060200.wav,8,0.998554700304694287105178318598
A_20090407_060200.wav,9,0.909585613311524321389356373402
A_20090407_060200.wav,10,0.747170769520539845842677095789
A_20090407_060200.wav,11,0.696148910553074484752755779482
A_20090407_060200.wav,12,0.788532214011702148326321548666
A_20090407_060200.wav,13,0.399935050092321775494497160253
A_20090407_060200.wav,14,0.446191489941865526702713395935
A_20090407_060200.wav,15,0.467841262558711057373272979021
A_20090407_060200.wav,16,0.583662456291471287705974191340
A_20090407_060200.wav,17,0.000000000000000000000000000000
A_20090407_060200.wav,18,0.567021457771228476474334456725
A_20090407_060200.wav,19,0.369404151514762912889011658990
A_20090407_060200.wav,20,0.917752889990194109515186937642
A_20090407_060200.wav,21,0.141139959372445167318232961406
A_20090407_060200.wav,22,0.763018473954004017301144813246
A_20090407_060200.wav,23,0.726000503726511703384005613771
A_20090407_060200.wav,24,0.438886315954269190520165011549
A_20090407_060200.wav,25,0.000000000000000000000000000000
A_20090407_060200.wav,26,0.633763908862495339846532260708
A_20090407_060200.wav,27,0.545222355870817576573017504415
A_20090407_060200.wav,28,0.597347684300536974077999730071
A_20090407_060200.wav,29,0.000000000000000000000000000000
A_20090407_060200.wav,30,0.334990646928513657876180786843
A_20090407_060200.wav,31,0.309556777281194350770476830803
A_20090407_060200.wav,32,0.986291282124282631116329866927
A_20090407_060200.wav,33,0.973344457630787363022761837783
A_20090407_060200.wav,34,0.187883790818836549085801834735
A_20090407_060200.wav,35,0.658825267340199749455109667906
A_20090409_055800.wav,1,0.748102531583972218953704214073
A_20090409_055800.wav,2,0.923079457481003395891150375974
A_20090409_055800.wav,3,0.000000000000000000000000000000
A_20090409_055800.wav,4,0.653062343276767265365378989372
A_20090409_055800.wav,5,0.574157252642693793909245414397
A_20090409_055800.wav,6,0.679617399549005796188794192858
A_20090409_055800.wav,7,0.746292010220363288830469628010
A_20090409_055800.wav,8,0.999335161677998518037213671050
A_20090409_055800.wav,9,0.893728472416332464511867783585
A_20090409_055800.wav,10,0.788346687296896053709360785433
A_20090409_055800.wav,11,0.900208933072126238350563198765
A_20090409_055800.wav,12,0.900551734156120997631944646855
A_20090409_055800.wav,13,0.681503610131415471506954872893
A_20090409_055800.wav,14,0.542661921165651151000020036008
A_20090409_055800.wav,15,0.724634516200710065980672425212
A_20090409_055800.wav,16,0.747091816618321247212008984206
A_20090409_055800.wav,17,0.000000000000000000000000000000
A_20090409_055800.wav,18,0.873104839387153885965631161525
A_20090409_055800.wav,19,0.637795576913175343847228759842
A_20090409_055800.wav,20,0.979646256494607459153201034496
A_20090409_055800.wav,21,0.280819626362291629995127095754
A_20090409_055800.wav,22,0.812561405235541545089006376656
A_20090409_055800.wav,23,0.929278495589740738402895203762
A_20090409_055800.wav,24,0.800395483820225850379870280449
A_20090409_055800.wav,25,0.000000000000000000000000000000
A_20090409_055800.wav,26,0.614678499044453707789159579988
A_20090409_055800.wav,27,0.485990695187083487915913337929
A_20090409_055800.wav,28,0.709888161305795795108508627891
A_20090409_055800.wav,29,0.000000000000000000000000000000
A_20090409_055800.wav,30,0.650718767089045857510143378022
A_20090409_055800.wav,31,0.791312782193481112358313112054
A_20090409_055800.wav,32,0.997889026720056637742573002470
A_20090409_055800.wav,33,0.962702229527140573850374494214
A_20090409_055800.wav,34,0.735627157547850796248667393229
A_20090409_055800.wav,35,0.523896799212318908800511962909
A_20090411_055400.wav,1,0.832380351481409874736527854111
A_20090411_055400.wav,2,0.968969695715887868736615473608
A_20090411_055400.wav,3,0.000000000000000000000000000000
A_20090411_055400.wav,4,0.900206357445947902284899555525
A_20090411_055400.wav,5,0.345209069029752568802393852820
A_20090411_055400.wav,6,0.683443336877008311702752507699
A_20090411_055400.wav,7,0.918286403048236721247121749911
A_20090411_055400.wav,8,0.999441584489117462730689567252
A_20090411_055400.wav,9,0.961246568154611846779289408005
A_20090411_055400.wav,10,0.795492967465292744044802475401
A_20090411_055400.wav,11,0.833686751397471392799332079449
A_20090411_055400.wav,12,0.749099385074504020565200335113
A_20090411_055400.wav,13,0.575211154277343483798290435516
A_20090411_055400.wav,14,0.771266016070260351789045216719
A_20090411_055400.wav,15,0.694616899293061251796643773559
A_20090411_055400.wav,16,0.679470382536823569452621995879
A_20090411_055400.wav,17,0.000000000000000000000000000000
A_20090411_055400.wav,18,0.742286388472131797300335165346
A_20090411_055400.wav,19,0.760692683178951778444343290175
A_20090411_055400.wav,20,0.983994877660068101299373211077
A_20090411_055400.wav,21,0.596838669793924192497058811568
A_20090411_055400.wav,22,0.936175867089178326274634400761
A_20090411_055400.wav,23,0.974647940052432937285686875839
A_20090411_055400.wav,24,0.605354136262099662424418511364
A_20090411_055400.wav,25,0.000000000000000000000000000000
A_20090411_055400.wav,26,0.868615762489888476594046551327
A_20090411_055400.wav,27,0.850670313396926891513771806785
A_20090411_055400.wav,28,0.847728440891592605055393505609
A_20090411_055400.wav,29,0.000000000000000000000000000000
A_20090411_055400.wav,30,0.541339408066182303791435970197
A_20090411_055400.wav,31,0.894324026228845658792465656006
A_20090411_055400.wav,32,0.999545492928361367646061808045
A_20090411_055400.wav,33,0.975317262314102761955325604504
A_20090411_055400.wav,34,0.895123737805879837736711124307
A_20090411_055400.wav,35,0.906397328879062547102307689784
A_20090413_055000.wav,1,0.867068551170987023013481120870
A_20090413_055000.wav,2,0.936555515657453652167419022589
A_20090413_055000.wav,3,0.000000000000000000000000000000
A_20090413_055000.wav,4,0.790383263314190509518653016130
A_20090413_055000.wav,5,0.566141991594415694422082196979
A_20090413_055000.wav,6,0.816027471730404907468425790285
A_20090413_055000.wav,7,0.819270483435886154310878737306
A_20090413_055000.wav,8,0.999825490514734793734419326938
A_20090413_055000.wav,9,0.964958672662930894148303195834
A_20090413_055000.wav,10,0.908722567013743764974265104684
A_20090413_055000.wav,11,0.922189617575225994983156851958
A_20090413_055000.wav,12,0.857247514100361929223481638473
A_20090413_055000.wav,13,0.797335469492044035533240275981
A_20090413_055000.wav,14,0.326779232407744091304380162910
A_20090413_055000.wav,15,0.883415678961162242899263219442
A_20090413_055000.wav,16,0.828680093717678145637250963773
A_20090413_055000.wav,17,0.000000000000000000000000000000
A_20090413_055000.wav,18,0.832373369946111552053480409086
A_20090413_055000.wav,19,0.776899221016903007708265249676
A_20090413_055000.wav,20,0.972868399086925128571579080017
A_20090413_055000.wav,21,0.632800235516910891675479433616
A_20090413_055000.wav,22,0.907030379178316747967869559943
A_20090413_055000.wav,23,0.892057210893012153540837516630
A_20090413_055000.wav,24,0.676708006578828347166165713134
A_20090413_055000.wav,25,0.000000000000000000000000000000
A_20090413_055000.wav,26,0.486844534593648292641887564969
A_20090413_055000.wav,27,0.548822397955901930544087008457
A_20090413_055000.wav,28,0.905972510120665153188213025715
A_20090413_055000.wav,29,0.000000000000000000000000000000
A_20090413_055000.wav,30,0.707674117655857193298629681522
A_20090413_055000.wav,31,0.595445307221767028416081757314
A_20090413_055000.wav,32,0.998951632920207832633252564847
A_20090413_055000.wav,33,0.973363148366528152521937045094
A_20090413_055000.wav,34,0.943568245258699533906110445969
A_20090413_055000.wav,35,0.896095087263061307325529014634
A_20090415_054600.wav,1,0.648023799461842742175576859154
A_20090415_054600.wav,2,0.940946422775922663994663253106
A_20090415_054600.wav,3,0.000000000000000000000000000000
A_20090415_054600.wav,4,0.706957863373724570976719405735
A_20090415_054600.wav,5,0.400049665123154318813192276139
A_20090415_054600.wav,6,0.710170180318467014757288779947
A_20090415_054600.wav,7,0.862724537776811573053237225395
A_20090415_054600.wav,8,0.999789445231627493804182904569
A_20090415_054600.wav,9,0.954541105151857527388870039431
A_20090415_054600.wav,10,0.834340035838369797893676604872
A_20090415_054600.wav,11,0.885097634006822731045360796998
A_20090415_054600.wav,12,0.859568542782354727549432027445
A_20090415_054600.wav,13,0.780915308587489587210939134820
A_20090415_054600.wav,14,0.620843370325407262200201330415
A_20090415_054600.wav,15,0.811649711148878072464185606805
A_20090415_054600.wav,16,0.638120040575735680832281104813
A_20090415_054600.wav,17,0.000000000000000000000000000000
A_20090415_054600.wav,18,0.676757011830561916454485071881
A_20090415_054600.wav,19,0.518121010377465829321863566292
A_20090415_054600.wav,20,0.982069310760757430145417856693
A_20090415_054600.wav,21,0.499384837742828602280553695891
A_20090415_054600.wav,22,0.904019471384619910381275076361
A_20090415_054600.wav,23,0.926947771894021887995052111364
A_20090415_054600.wav,24,0.529145426659813788994313199510
A_20090415_054600.wav,25,0.000000000000000000000000000000
A_20090415_054600.wav,26,0.852983077613904794311849855148
A_20090415_054600.wav,27,0.831163578276042702697168351733
A_20090415_054600.wav,28,0.851615474948304806979137993039
A_20090415_054600.wav,29,0.000000000000000000000000000000
A_20090415_054600.wav,30,0.707492512668700390676690403780
A_20090415_054600.wav,31,0.764719440489730506449461699958
A_20090415_054600.wav,32,0.999328109453056723232577951421
A_20090415_054600.wav,33,0.977222550081363827700897672912
A_20090415_054600.wav,34,0.851470970575242791511527684634
A_20090415_054600.wav,35,0.790357040359772389237491552194
A_20090417_054200.wav,1,0.541292361609632566299410427746
A_20090417_054200.wav,2,0.951768574063252326133977021527
A_20090417_054200.wav,3,0.000000000000000000000000000000
A_20090417_054200.wav,4,0.691070481405796743779035296029
A_20090417_054200.wav,5,0.501414622427348355415688274661
A_20090417_054200.wav,6,0.652417100999310273223841250001
A_20090417_054200.wav,7,0.873135166479215740764630027115
A_20090417_054200.wav,8,0.999284413812920546682505573699
A_20090417_054200.wav,9,0.919179029154296611814345396851
A_20090417_054200.wav,10,0.589527233113702253675114661746
A_20090417_054200.wav,11,0.913667041484809705487180053751
A_20090417_054200.wav,12,0.855010400964787309341375021177
A_20090417_054200.wav,13,0.795762029117827673907470398262
A_20090417_054200.wav,14,0.852121214833246098940833235247
A_20090417_054200.wav,15,0.777730233572615059500776624191
A_20090417_054200.wav,16,0.836487963171102966164482950262
A_20090417_054200.wav,17,0.000000000000000000000000000000
A_20090417_054200.wav,18,0.880985309703608554521281348570
A_20090417_054200.wav,19,0.675464753205554990778125556972
A_20090417_054200.wav,20,0.983400359976744020684691349743
A_20090417_054200.wav,21,0.370515744195137664007688726997
A_20090417_054200.wav,22,0.828006578483460931039417118882
A_20090417_054200.wav,23,0.913467957097222282847326368938
A_20090417_054200.wav,24,0.735474702180529571471367944469
A_20090417_054200.wav,25,0.000000000000000000000000000000
A_20090417_054200.wav,26,0.855694309574932088224841209012
A_20090417_054200.wav,27,0.761780802297877590589791907405
A_20090417_054200.wav,28,0.687010819733591016067464352091
A_20090417_054200.wav,29,0.000000000000000000000000000000
A_20090417_054200.wav,30,0.545823555773133461954671474814
A_20090417_054200.wav,31,0.837652894047478335792789039260
A_20090417_054200.wav,32,0.999014313675890885946273556328
A_20090417_054200.wav,33,0.976464122544414947491020484449
A_20090417_054200.wav,34,0.773703797920328506521059352963
A_20090417_054200.wav,35,0.652872263347394232724241192045
A_20090419_053900.wav,1,0.710247888856475606544904621842
A_20090419_053900.wav,2,0.919658512027392682774973309279
A_20090419_053900.wav,3,0.000000000000000000000000000000
A_20090419_053900.wav,4,0.576736461610146911027641181136
A_20090419_053900.wav,5,0.262833202980085056665870979486
A_20090419_053900.wav,6,0.440188239757967725296339267516
A_20090419_053900.wav,7,0.711174017861552765218391414237
A_20090419_053900.wav,8,0.998981940505605625624241383775
A_20090419_053900.wav,9,0.607638367946822799403605586122
A_20090419_053900.wav,10,0.794577531960843796987603582238
A_20090419_053900.wav,11,0.601157832440654793515477649635
A_20090419_053900.wav,12,0.855648432615375598153661940160
A_20090419_053900.wav,13,0.488604656038891249636435532011
A_20090419_053900.wav,14,0.469166178286484436554815147247
A_20090419_053900.wav,15,0.323670925758497318724948854651
A_20090419_053900.wav,16,0.488454826348546977676789992984
A_20090419_053900.wav,17,0.000000000000000000000000000000
A_20090419_053900.wav,18,0.785793476647239308441328375920
A_20090419_053900.wav,19,0.026562665281620101431769853662
A_20090419_053900.wav,20,0.922472194290870128874360034388
A_20090419_053900.wav,21,0.448526499199881301116477061441
A_20090419_053900.wav,22,0.785909747759102605968450916407
A_20090419_053900.wav,23,0.750976002097537786994507769123
A_20090419_053900.wav,24,0.520697453776838070638177669025
A_20090419_053900.wav,25,0.246270759081129719803016087099
A_20090419_053900.wav,26,0.793845563727102465634288819274
A_20090419_053900.wav,27,0.659212954933038663973832171905
A_20090419_053900.wav,28,0.776433085672412204303327598609
A_20090419_053900.wav,29,0.000000000000000000000000000000
A_20090419_053900.wav,30,0.293183577922222715628208788985
A_20090419_053900.wav,31,0.600524040102954570485849217221
A_20090419_053900.wav,32,0.966315301603621334969318468211
A_20090419_053900.wav,33,0.974346140866467314012311362603
A_20090419_053900.wav,34,0.000000000000000000000000000000
A_20090419_053900.wav,35,0.724763602859947786427596838621
A_20090421_053500.wav,1,0.661916164941723783599059061089
A_20090421_053500.wav,2,0.928317179105480838607888927072
A_20090421_053500.wav,3,0.000000000000000000000000000000
A_20090421_053500.wav,4,0.766921586789601872347077460290
A_20090421_053500.wav,5,0.465273493771761192938640760985
A_20090421_053500.wav,6,0.743766211142835143022011834546
A_20090421_053500.wav,7,0.884011076901912495884516829392
A_20090421_053500.wav,8,0.999473601738722683407445401826
A_20090421_053500.wav,9,0.913750392504481312450081986754
A_20090421_053500.wav,10,0.796148961743905259069720159459
A_20090421_053500.wav,11,0.898624082668930790340766634472
A_20090421_053500.wav,12,0.808068229868636134227699585608
A_20090421_053500.wav,13,0.827687988078886327514283038909
A_20090421_053500.wav,14,0.783470281041800165056088189885
A_20090421_053500.wav,15,0.646771570067277035143149532814
A_20090421_053500.wav,16,0.801688242157910235796691722499
A_20090421_053500.wav,17,0.000000000000000000000000000000
A_20090421_053500.wav,18,0.819600283662593187550271522923
A_20090421_053500.wav,19,0.506178316582658216482570878725
A_20090421_053500.wav,20,0.968782351485267034796322604961
A_20090421_053500.wav,21,0.456862123640512596267626577173
A_20090421_053500.wav,22,0.788364085036639239412181723310
A_20090421_053500.wav,23,0.929692376131467046462830694509
A_20090421_053500.wav,24,0.558999079162219025818103546044
A_20090421_053500.wav,25,0.000000000000000000000000000000
A_20090421_053500.wav,26,0.611404613097171312219302308222
A_20090421_053500.wav,27,0.600517421062298772937992907828
A_20090421_053500.wav,28,0.765781540107158598118530790089
A_20090421_053500.wav,29,0.000000000000000000000000000000
A_20090421_053500.wav,30,0.472868540357639477456075383088
A_20090421_053500.wav,31,0.743093563343352636607619388087
A_20090421_053500.wav,32,0.997721307513075861272966449178
A_20090421_053500.wav,33,0.979940242424964358392003305198
A_20090421_053500.wav,34,0.764877421854576633464262158668
A_20090421_053500.wav,35,0.685825609716094852785772673087
A_20090423_053100.wav,1,0.743804777956247331616168594337
A_20090423_053100.wav,2,0.955951697169694303291009873647
A_20090423_053100.wav,3,0.000000000000000000000000000000
A_20090423_053100.wav,4,0.720483823582001248198025677993
A_20090423_053100.wav,5,0.435143868050808291236819513870
A_20090423_053100.wav,6,0.687834708889337509418737681699
A_20090423_053100.wav,7,0.926111864982217647401796511986
